CODE_MIL,LABEL_MIL,LB_APPELLATION_MIL
*30,VISITE DES CHAIS 1 PERSONNE,
*31,30G PRIMEUR CAVIAR,
*32,50G PRIMEUR CAVIAR,
*33,30G VINTAGE CAVIAR,
*34,50G VINTAGE CAVIAR,
*35,30G OSCIETRE CAVIAR,
*36,50G OSCIETRE CAVIAR,
*37,BAGAGE A VINS LAZENNE 12 BLES,
*38,CARTON 3 BLES BOURG CHAMPAGNES,
*39,CADENAS CERTIFIES TSA BAGAGES A VIN,
*4,TABLIER LA CAVE COULEUR BORDEAUX,
*40,CAISSETTE BOIS 1 BOUTEILLE,
*41,CAISSETTE BOIS 1 MAGNUM,
*5,CASIER DE 6 BOUTEILLES,
*6,CASIER DE 4 MAGNUNS,
*7,CRACHOIR SABLIER INOX,
*8,ETAMPE,
*9,TABLIER L ECOLE COULEUR NOIRE,
*C15,CAISSE 6 BOUTEILLES MASTER CLASSE MOUTON,
*C2,SAC 3 BTL PAUILLAC 2001,
*C3,SAC 3 BTL ROUGE ET BLANC 2001,
1,L AFFICHE MILLESIMA,
10,SAC EN TOILE DE JUTE 3 BLLES,
100,ANCIEN INITIATION AUX CRUS BOURGEOIS CHATEAU LA FLEUR PEYRABON PAUILLAC 1996 1998 2000,
1001,MARGAUX ROUGE,MARGAUX
1002,RAUZAN SEGLA ROUGE,MARGAUX
1003,RAUZAN GASSIES ROUGE,MARGAUX
1004,LASCOMBES ROUGE,MARGAUX
1005,CARMES DE RIEUSSEC BLANC,SAUTERNES
1006,BRANE CANTENAC ROUGE,MARGAUX
1007,BEAU SOLEIL ROUGE,POMEROL
1008,ISSAN ROUGE,MARGAUX
1009,GISCOURS ROUGE,MARGAUX
101,HORIZONTALE 1998 LES SUPER SECONDS CH MONTROSE LYNCH BAGES DOM DE CHEVALIER,
1010,SIRENE DE GISCOURS ROUGE,MARGAUX
1011,BOYD CANTENAC ROUGE,MARGAUX
1012,CANTENAC BROWN ROUGE,MARGAUX
1013,PALMER ROUGE,MARGAUX
1014,CLOS L EGLISE POMEROL ROUGE,POMEROL
1015,CLOS DE SARPE ROUGE,SAINT EMILION
1016,FAURIE DE SOUCHARD ROUGE,SAINT EMILION
1017,PRIEURE LICHINE ROUGE,MARGAUX
1018,LABEGORCE ZEDE ROUGE,MARGAUX
1019,JEAN FAURE ROUGE,SAINT EMILION
102,LES PREMIERS CRUS CLASSES 2000 CH MARGAUX CH LAFITE ROTHSCHILD CH LATOUR CH MOUTON ROTHSCHILD CH CHEVAL BLANC CH HAUT BRION,
1210,PAVIE DECESSE ROUGE,SAINT EMILION
1211,YON FIGEAC ROUGE,SAINT EMILION
1212,LARMANDE ROUGE,SAINT EMILION
1213,ARROSEE ROUGE,SAINT EMILION
1214,CLOS DE L ORATOIRE ROUGE,SAINT EMILION
1215,ANGELUS ROUGE,SAINT EMILION
1216,CANON LA GAFFELIERE ROUGE,SAINT EMILION
1217,MONBOUSQUET ROUGE,SAINT EMILION
1218,TROPLONG MONDOT ROUGE,SAINT EMILION
1219,FRANC GRACE DIEU,
122,MASTER CLASS YQUEM ET CHEVAL BLANC,
1220,PALAIS CARDINAL LA FUIE,
1221,PONTET,
1222,ROZIER,
1223,CLOS LA GAFFELIERE ROUGE,SAINT EMILION
1224,GRANGE NEUVE DE FIGEAC ROUGE,SAINT EMILION
1225,CLOS J KANON ROUGE,SAINT EMILION
1226,NINON ROUGE,
1227,MARTINON ROUGE,BORDEAUX SUPERIEUR
1228,DOISY DAENE BORDEAUX BLANC SEC,BORDEAUX BLANCS SECS
1229,GRAND R DE RIEUSSEC,
123,MASTER CLASS SOCIANDO ET HAUT MARB,
1230,Y D YQUEM BLANC,BORDEAUX BLANCS SECS
1231,PAVILLON BLANC BLANC,BORDEAUX BLANCS SECS
1232,REYNON VIEILLE VIGNE BLANC,BORDEAUX BLANCS SECS
1233,THIEULEY CUVEE SPECIALE,
1234,NINON BLANC,
1235,MARTINON BLANC,ENTRE DEUX MERS
1236,CARIGNAN PRIMA ROUGE,CADILLAC COTES DE BORDEAUX
1237,HAUT BRION BLANC,PESSAC LEOGNAN BLANC
1238,LATOUR MILON,
1239,BATARD CHEVALIER,PESSAC LEOGNAN BLANC
124,MASTER CLASS DOM DE CHEVALIER,
1240,MONBRISON ROUGE,MARGAUX
1241,FLEUR DE GAY ROUGE,POMEROL
1242,DULUC DE BRANAIRE DUCRU ROUGE,SAINT JULIEN
1243,ST ROCH,
1244,GAZIN ROUGE,POMEROL
1245,HOSPITALET DE GAZIN ROUGE,POMEROL
1246,LABORDE CUVEE 1628 ROUGE,LALANDE DE POMEROL
1247,VIAUD ROUGE,LALANDE DE POMEROL
1248,TERREY GROS CAILLOUX ROUGE,SAINT JULIEN
1249,RAMAFORT ROUGE,MEDOC
1420,VERDIGNAN,
1421,PETIT CHEVAL ROUGE,SAINT EMILION
1422,HAUT PEYRILLAT,
1423,CROIX DE CARBONNIEUX ROUGE,PESSAC LEOGNAN ROUGE
1424,SOCIANDO MALLET ROUGE,HAUT MEDOC
1425,DOMINIQUE ROUGE,SAINT EMILION
1426,SOUTARD ROUGE,SAINT EMILION
1427,LATOUR MARTILLAC ROUGE,PESSAC LEOGNAN ROUGE
1428,LATOUR MARTILLAC BLANC,PESSAC LEOGNAN BLANC
1429,BAHANS HAUT BRION ROUGE,PESSAC LEOGNAN ROUGE
143,VISITE SIMPLE,
1430,N2 DU CH LAFON ROCHET ROUGE,SAINT ESTEPHE
1432,HAUTS DE PONTET CANET ROUGE,PAUILLAC
1433,AILE D ARGENT BLANC,BORDEAUX BLANCS SECS
1434,CHENES DE BOUSCAUT ROUGE,PESSAC LEOGNAN ROUGE
1435,LABEGORCE ROUGE,MARGAUX
1436,FRANCE ROUGE,PESSAC LEOGNAN ROUGE
1437,HAUT BERGEY ROUGE,PESSAC LEOGNAN ROUGE
1438,BENJAMIN DE CHANTEGRIVE ROUGE,GRAVES ROUGES
1439,ORANGERIE DE RAHOUL ROUGE,GRAVES ROUGES
144,VISITE ET DEGUSTATION,
1440,FERRANDE ROUGE,GRAVES ROUGES
1441,FERRIERE ROUGE,MARGAUX
1442,CAILLOU BLANC BLANC,BORDEAUX BLANCS SECS
1443,SELECTION PB PAUILLAC ROUGE,PAUILLAC
1444,SOLITUDE BLANC,PESSAC LEOGNAN BLANC
1445,POMMARD,
1446,HOURTIN DUCASSE ROUGE,HAUT MEDOC
1447,TOUR L ASPIC ROUGE,PAUILLAC
1448,HAUTS DE SMITH BLANC,PESSAC LEOGNAN BLANC
1449,CLEMENTIN DE PAPE CLEMENT BLANC,PESSAC LEOGNAN BLANC
145,PRECHAUFFAGE,
1590,COURTEILLAC ROUGE,BORDEAUX SUPERIEUR
1591,LA MONDOTTE ROUGE,SAINT EMILION
1592,FLEUR PEYRABON ROUGE,PAUILLAC
1593,PEYRABON ROUGE,HAUT MEDOC
1594,CLOS CANON ROUGE,SAINT EMILION
1595,PLAISANCE ROUGE,BORDEAUX SUPERIEUR
1596,BEAULIEU COMTES DE TASTES ROUGE,BORDEAUX SUPERIEUR
1597,ROYLLAND ROUGE,SAINT EMILION
1598,PIERBONE ROUGE,HAUT MEDOC
1599,COURTEILLAC BLANC,BORDEAUX BLANCS SECS
16,BUFFET DU 03 11 2005,
1800,BOURDIEU ROUGE,MEDOC
1801,BOURNAC ROUGE,MEDOC
1802,BRANNE ROUGE,MEDOC
1803,BROUSTERAS ROUGE,MEDOC
1804,CABANS ROUGE,MEDOC
1805,CAMPILLOT ROUGE,MEDOC
1806,CARCANIEUX ROUGE,MEDOC
1807,CARDONNE ROUGE,MEDOC
1808,CASTERA ROUGE,MEDOC
1809,CHANDELLIERE ROUGE,MEDOC
1810,CHANTEMERLE ROUGE,MEDOC
1811,CLARE ROUGE,MEDOC
1812,CLEMENT SAINT JEAN ROUGE,MEDOC
1813,COTES DE BLAIGNAN ROUGE,MEDOC
1814,CROIX ROUGE,MEDOC
1815,DAVID ROUGE,MEDOC
1816,ESCOT ROUGE,MEDOC
1817,ESCURAC ROUGE,MEDOC
1818,ESTRAN ROUGE,MEDOC
1819,FONTIS ROUGE,MEDOC
1820,GEMEILLAN ROUGE,MEDOC
1821,GORCE ROUGE,MEDOC
1822,GORRE ROUGE,MEDOC
1823,GRAND BERTIN DE SAINT CLAIR ROUGE,MEDOC
1824,GRANGE DE BESSAN ROUGE,MEDOC
1825,GRAVETTE LACOMBE ROUGE,MEDOC
1826,GRANGES DE CIVRAC ROUGE,MEDOC
1827,GRANGES D OR ROUGE,MEDOC
1828,GRAVAT ROUGE,MEDOC
1829,GRIVIERE ROUGE,MEDOC
1830,HAUT BANA ROUGE,MEDOC
1831,HAUT BARRAIL ROUGE,MEDOC
1832,HAUT CANTELOUP ROUGE,MEDOC
1833,HAUT MAURAC ROUGE,MEDOC
1834,HAUT MYLES ROUGE,MEDOC
1835,LABADIE ROUGE,MEDOC
1836,LACOMBE NOAILLAC ROUGE,MEDOC
1837,LADIGNAC ROUGE,MEDOC
1838,LALANDE D AUVION ROUGE,MEDOC
1839,LASSUS ROUGE,MEDOC
1840,LAUJAC ROUGE,MEDOC
1841,LATTES ROUGE,MEDOC
1842,LAULAN DUCOS ROUGE,MEDOC
1843,LEBOSCQ ROUGE,MEDOC
1844,LESTRUELLE ROUGE,MEDOC
1845,LIVRAN ROUGE,MEDOC
1846,LOIRAC ROUGE,MEDOC
1847,LOUSTEAUNEUF ROUGE,MEDOC
1848,MAISON BLANCHE ROUGE,MEDOC
2143,VIEUX SERESTIN ROUGE,MEDOC
2144,GRIFFONS PICHON BARON ROUGE,PAUILLAC
2145,LES CHARMES DE MAGNOL BLANC,BORDEAUX BLANCS SECS
2146,PEYRAT GRAVES ROUGE,GRAVES ROUGES
2147,PEYRAT GRAVES BLANC,GRAVES BLANCS
2148,BELLE CONNIVENCE ROUGE,POMEROL
2149,PENSEES TOUR CARNET ROUGE,HAUT MEDOC
2150,SYMPHONIE HAUT PEYRAGUEY BLANC,SAUTERNES
2151,MOULIN RICHE ROUGE,SAINT JULIEN
2152,LE CROCK ROUGE,SAINT ESTEPHE
2153,PETIT CAILLOU ROUGE,SAINT JULIEN
2154,LAFAURIE PEYRAGUEY BORDEAUX BLANC SEC,BORDEAUX BLANCS SECS
2155,CLOS BOUARD ROUGE,MONTAGNE SAINT EMILION
2156,DAME BOUARD ROUGE,MONTAGNE SAINT EMILION
2157,ROSE FIGEAC ROUGE,POMEROL
2158,CUVEE COMPOSTELLE ROUGE MONTPEZAT,CASTILLON COTES DE BORDEAUX
2159,THIEULEY ROUGE,BORDEAUX
2160,THIEULEY RESERVE FRANCIS COURSELLE ROUGE,BORDEAUX
2161,SUAU BLANC,BARSAC
2162,JOANIN BECOT ROUGE,CASTILLON COTES DE BORDEAUX
2163,CAP DE FAUGERES MOULEYRE ROUGE,CASTILLON COTES DE BORDEAUX
2164,CHARTREUSE FAUGERES ROUGE,SAINT EMILION
2165,LYS LAFAURIE PEYRAGUEY BLANC,BORDEAUX BLANCS SECS
2166,MERLE PEBY FAUGERES ROUGE,SAINT EMILION
2167,MOULIN ROSE ROUGE,SAINT JULIEN
2168,CHATEAU TOUR BAYARD ROUGE,MONTAGNE SAINT EMILION
2169,ROMANCE BLANC,BORDEAUX BLANCS SECS
2170,BOIS MONDOT SAINT GERMAIN ROUGE,MEDOC
2171,GRAND LACAZE ROUGE,MEDOC
2172,LESTAGE CHEVILLON ROUGE,MEDOC
2173,VIEUX MAURAC ROUGE,MEDOC
2174,FOURCAS BORIE ROUGE,LISTRAC
2175,LA FLEUR ROUGE,SAINT EMILION
2176,BLANC SEC DE CH SUDUIRAUT BLANC,BORDEAUX BLANCS SECS
2177,MERLE BLANC BLANC CLARKE,BORDEAUX BLANCS SECS
2178,TOUR CARNET BLANC,BORDEAUX BLANCS SECS
2179,LIBER PATER FEUILLE ROUGE,GRAVES ROUGES
2180,LIBER PATER ORAGE BLANC,GRAVES BLANCS
2181,LIBER PATER ORAGE ROUGE,GRAVES ROUGES
2182,LIBER PATER SCENE ROUGE,GRAVES ROUGES
2183,LIBER PATER REVE ROUGE,GRAVES ROUGES
3172,CUVEE 736 BLANC JACQUESSON,CHAMPAGNE
3173,DIZY TERRES ROUGES ROSE JACQUESSON,CHAMPAGNE
3174,MARIE WEISS BRUT BLANC PLOYEZ JACQUEMART,CHAMPAGNE
3175,BRUT TRADITION BLANC LAHERTE,CHAMPAGNE
3176,BRUT ROSE ROSE LAHERTE,CHAMPAGNE
3177,RIVE GAUCHE RIVE DROITE GC EXTRA BRUT BLANC HEBRART,CHAMPAGNE
3178,PERLE GC B DE B BLANC LILBERT,CHAMPAGNE
3179,BRUT IMPERIAL NM BLANC MOET,CHAMPAGNE
3180,B DE B NM BLANC DELAMOTTE,CHAMPAGNE
3181,B DE B NM BLANC BILLECART SALMON,CHAMPAGNE
3182,ELISABETH SALMON NM ROSE BILLECART SALMON,CHAMPAGNE
3183,CUVEE CAUDALIES B DE B BRUT NM BLANC DE SOUSA,CHAMPAGNE
3184,B DE B BLANC JOSE DHONDT,CHAMPAGNE
3185,B DE B BLANC AYALA,CHAMPAGNE
3186,B DE B GRAND CRU NM BLANC BRUNO PAILLARD,CHAMPAGNE
3187,PREMIERE CUVEE BLANC BRUNO PAILLARD,CHAMPAGNE
3188,PREMIERE CUVEE ROSE BRUNO PAILLARD,CHAMPAGNE
3189,BRUT NM BLANC ALFRED GRATIEN,CHAMPAGNE
3190,BRUT ROSE ROSE ALFRED GRATIEN,CHAMPAGNE
3191,B DE B BRUT MILLESIME BLANC ST CHAMANT,CHAMPAGNE
3192,ROSE BRUT ROSE ST CHAMANT,CHAMPAGNE
3193,SUBLIME RESERVE SEC BLANC PHILIPPONNAT,CHAMPAGNE
3194,GRAND SIECLE RESERVES BLANC LAURENT PERRIER,CHAMPAGNE
3195,DOM PERIGNON 2002 JEWEL ROSE,CHAMPAGNE
3196,BLANC DE NOIRS GC VV CRAYERES BLANC EGLY OURIET,CHAMPAGNE
3197,BRUT NM BLANC PIAFF,CHAMPAGNE
3198,BRUT 1C BLANC AUBRY,CHAMPAGNE
3199,NOMBRE OR BRUT BLANC AUBRY,CHAMPAGNE
32,50G PRIMEUR CAVIAR,
3435,MALLE 1852 CLASSIQUE CHARLES HEIDSIECK,
3436,GRANDE SENDREE FLUTES HAUTE EXPRESSIONBLANC DRAPPIER,CHAMPAGNE
3437,POINT UNIVERS 2002 BLANC KRUG,CHAMPAGNE
3438,COLLECTION MEMOIRE BLANC LALLIER,CHAMPAGNE
3439,NOCTURNE CITY LIGHTS BLANC TAITTINGER,CHAMPAGNE
3440,NOCTURNE CITY LIGHTS ROSE TAITTINGER,CHAMPAGNE
3441,DEMI SEC BLANC BILLECART SALMON,CHAMPAGNE
3442,CINTRES BLANC PHILIPPONNAT,CHAMPAGNE
3443,RESONANCE BLANC VERGNON,CHAMPAGNE
3444,COFFRET 3 VINTAGES 2009 BLANC ROEDERER,CHAMPAGNE
3445,BLANC DE NOIR BLANC DE SOUSA,CHAMPAGNE
3446,LA CUVEE BLANC LAURENT PERRIER,CHAMPAGNE
3447,MAREUIL SUR AY BLANC PHILIPPONNAT,CHAMPAGNE
3448,PLENITUDE P2 ROSE DOM PERIGNON,CHAMPAGNE
3449,CARTE BLANCHE BLANC DRAPPIER,CHAMPAGNE
3450,MCIII 1 EDITION BLANC MOET,CHAMPAGNE
3451,RARE BRUT BLANC PIPER HEIDSIECK,CHAMPAGNE
3452,FEMME DE CHAMPAGNE BLANC DUVAL LEROY,CHAMPAGNE
3453,INITIAL GRAND CRU B DE B BRUT BLANC SELOSSE,CHAMPAGNE
3454,ROSE GRAND CRU BRUT ROSE SELOSSE,CHAMPAGNE
3455,SUBSTANCE B DE B BRUT BLANC SELOSSE,CHAMPAGNE
3456,VINTAGE BLANC DE BLANCS BLANC BARONS DE ROTHSCHILD,CHAMPAGNE
3457,BRUT TRADITION BLANC EGLY OURIET,CHAMPAGNE
3458,7 CRUS BRUT BLANC AGRAPART,CHAMPAGNE
3459,EXTRA BRUT EXTRA OLD BLANC CLICQUOT,CHAMPAGNE
3460,CUVEE 736 DT BLANC JACQUESSON,CHAMPAGNE
3461,CUVEE 740 BLANC JACQUESSON,CHAMPAGNE
3462,BRUT IMPERIAL NM ROSE MOET,CHAMPAGNE
3463,CUVEE LOUIS B DE B BLANC BILLECART SALMON,CHAMPAGNE
3464,ROSE 2006 ROSE BOLLINGER,CHAMPAGNE
3465,GRANDE SENDREE COFFRET PRESTIGE BLANC DRAPPIER,CHAMPAGNE
3466,BRUT ROSE ROSE VALENTIN LEFLAIVE,CHAMPAGNE
3467,CUVEE ROSE ROBE ROSE LAURENT PERRIER,CHAMPAGNE
3468,GRAND BLANC DE NOIRS BLANC GOSSET,CHAMPAGNE
3469,DUO RUINART B DE B ROSE RUINART,CHAMPAGNE
3470,COFFRET COLLECTION RUINART RUINART,CHAMPAGNE
5998,CARTE MESSAGE,
5999,BON REDUCTION,
6,CASIER DE 4 MAGNUNS,
8136,VODKATITO S HANDMADE MOCKINGBIRD DISTILLERY,
8137,ARMAGNAC JOUANCHICOT DARROZE,BAS ARMAGNAC
8138,ARMAGNAC JOUATMAOU DARROZE,BAS ARMAGNAC
8139,ARMAGNAC BRET DARROZE,BAS ARMAGNAC
8140,DRY VERMOUTH BLANC RANSOM,
8141,WHISKY BOURBON BLACK MAPLE HILL,STRAIGHT BOURBON
8142,WHISKY 16 YEAR BOURBON BLACK MAPLE HILL,STRAIGHT BOURBON
8143,WHISKY CANADIAN CLUB,BLENDED CANADIAN WHISKY
8144,WHISKY CROWN ROYAL,BLENDED CANADIAN WHISKY
8145,WHISKY 15 YEAR GLEN GRANT,SINGLE MALT SCOTCH WHISKY
8146,WHISKY 10 YEAR GLENFARCLAS,SINGLE MALT SCOTCH WHISKY
8147,WHISKY 15 YEAR FRENCH OAK RESERVE GLENLIVET,SINGLE MALT SCOTCH WHISKY
8148,WHISKY RENDEZVOUS RYE HIGH WEST WHISKEY,STRAIGHT RYE WHISKEY
8149,WHISKY JAMESON IRISH JAMESON,PURE POT STILL WHISKEY
8150,WHISKY GOLD LABEL 18 YEAR JOHNNIE WALKER,BLENDED SCOTCH WHISKY
8151,WHISKY GREEN LABEL 15 YEAR JOHNNIE WALKER,BLENDED SCOTCH WHISKY
8152,WHISKY 10 YEAR LAPHROAIG,SINGLE MALT SCOTCH WHISKY
8153,WHISKY 1990 MACALLAN,SINGLE MALT SCOTCH WHISKY
8154,WHISKY TAMDHU COLLECTION 8 YEAR MACPHAIL,SINGLE MALT SCOTCH WHISKY
8155,BITTERS TRAVEL PACK THE BITTER TRUTH,BITTER
8156,BLACK GOLD JAMAICAN RUM BLACKWELL,
8157,WHISKY TRUE BLUE CASK STRENGTH BALCONES DISTILLERY,CORN WHISKEY
8158,WHISKY WHITE DOG MALTED BARLEY HOUSE SPIRITS,BARLEY WHISKEY
8159,TENNESSEE HONEY JACK DANIEL S,
8160,ELDERFLOWER LIQUEUR ST GERMAIN,
8161,PIMM S NO 1 PIMM S,
8162,WHISKY 18 YEAR MACALLAN,SINGLE MALT SCOTCH WHISKY
8163,CAFE XO PATRON,TEQUILA
8164,WHISKY PAPPY VAN WINKLE 20 YEAR OLD OLD RIP VAN WINKLE DISTILLERY,STRAIGHT BOURBON
8165,SIDRE TENDRE APPLE CIDER ERIC BORDELET,
8166,POIRE GRANIT PEAR CIDER ERIC BORDELET,
8167,WHISKY 11 YEAR LAFITE CASK LAPHROAIG,SINGLE MALT SCOTCH WHISKY
8168,WHISKY SPRING RELEASE 2011 KILCHOMAN,SINGLE MALT SCOTCH WHISKY
8169,SYDRE ARGELETTE APPLE CIDER ERIC BORDELET,
8170,COGNAC PRIVILEGE VSOP HENNESSY,COGNAC
8171,ARMAGNAC GRANDS ASSEMBLAGES 12 YEAR OLD DARROZE,BAS ARMAGNAC
8172,PISCO BARSOL,PISCO
8173,CHINATO AMERICANO ROUGE VERGANO,CHINATO
8174,VERMOUTH BIANCO VERGANO,
8175,NEBBIOLO CHINATO ROUGE VERGANO,CHINATO
8176,COGNAC VERY SPECIAL HENNESSY,COGNAC
8177,COGNAC FINE DE COGNAC HENNESSY,COGNAC
8178,COGNAC XO HENNESSY,COGNAC
8510,CALVADOS 1970 LEMORTON,CALVADOS PAYS D AUGE
8511,CALVADOS 1972 LEMORTON,CALVADOS PAYS D AUGE
8512,CALVADOS 10 ANS LEMORTON,CALVADOS PAYS D AUGE
8513,CALVADOS 5 ANS LECOMPTE,CALVADOS PAYS D AUGE
8514,WHISKY 18 YEAR GLENFIDDICH,SINGLE MALT SCOTCH WHISKY
8515,WHISKY 21 YEAR GLENFIDDICH,SINGLE MALT SCOTCH WHISKY
8516,WHISKY 12 YEAR GLENFIDDICH,SINGLE MALT SCOTCH WHISKY
1020,GRAVIERES ROUGE,SAINT EMILION
1021,TERTRE ROUGE,MARGAUX
1022,LEOVILLE LAS CASES ROUGE,SAINT JULIEN
1023,LEOVILLE POYFERRE ROUGE,SAINT JULIEN
1024,LEOVILLE BARTON ROUGE,SAINT JULIEN
1025,GRUAUD LAROSE ROUGE,SAINT JULIEN
1026,DUCRU BEAUCAILLOU ROUGE,SAINT JULIEN
1027,LAGRANGE ROUGE,SAINT JULIEN
1028,JEUNES POUSSES DE RAYMOND LAFON BLANC,SAUTERNES
1029,TALBOT ROUGE,SAINT JULIEN
103,LOCATION DE SALLES,
1030,ST PIERRE ROUGE,SAINT JULIEN
1031,BEYCHEVELLE ROUGE,SAINT JULIEN
1032,BRANAIRE DUCRU ROUGE,SAINT JULIEN
1033,LAFITE ROTHSCHILD ROUGE,PAUILLAC
1034,LATOUR ROUGE,PAUILLAC
1035,MOUTON ROTHSCHILD ROUGE,PAUILLAC
1036,PICHON BARON ROUGE,PAUILLAC
1037,PICHON LONGUEVILLE COMTESSE LALANDE ROUGE,PAUILLAC
1038,DUHART MILON ROUGE,PAUILLAC
1039,PETIT MOUTON ROUGE,PAUILLAC
104,BUFFET,
121,MASTER CLASS CLUB DES 5,
1290,G DE CH GUIRAUD BLANC,BORDEAUX BLANCS SECS
1291,THIEULEY CLAIRET,
1292,CAMBON LA PELOUSE ROUGE,HAUT MEDOC
1293,BOSCQ ROUGE,SAINT ESTEPHE
1294,GOULEE ROUGE,MEDOC
1295,CARIGNAN ROUGE,CADILLAC COTES DE BORDEAUX
1296,ROLLAN DE BY ROUGE,MEDOC
1297,MARSAU ROUGE,FRANCS COTES DE BORDEAUX
1298,CHANTEGRIVE BLANC,GRAVES BLANCS
1299,BRUN ROUGE,SAINT EMILION
13,SAC EN TOILE DE JUTE 3 MAG,
1450,RESERVE DE MALARTIC BLANC,PESSAC LEOGNAN BLANC
1451,ESPRIT DE CHEVALIER ROUGE,PESSAC LEOGNAN ROUGE
1452,ESPRIT DE CHEVALIER BLANC,PESSAC LEOGNAN BLANC
1453,LAGRAVE MARTILLAC BLANC,PESSAC LEOGNAN BLANC
1454,HAUT MARBUZET ROUGE,SAINT ESTEPHE
1455,DEMOISELLES DE LARRIVET HAUT BRION BLANC,PESSAC LEOGNAN BLANC
1456,COURONNE,PAUILLAC
1457,HAUTS DE LARRIVET HAUT BRION BLANC,PESSAC LEOGNAN BLANC
1458,L DE LA LOUVIERE BLANC,PESSAC LEOGNAN BLANC
1459,ETOILE DE BERGEY BLANC,PESSAC LEOGNAN BLANC
146,REAMENAGEMENT DES CHAIS,
1460,COQUILLAS BLANC,PESSAC LEOGNAN BLANC
1461,SOLITUDE ROUGE,PESSAC LEOGNAN ROUGE
1462,SELECTION PB PESSAC ROUGE,PESSAC LEOGNAN ROUGE
1463,SERENITE DE POUMEY ROUGE,PESSAC LEOGNAN ROUGE
1464,MAUCAILLOU ROUGE,MOULIS
1465,SMITH HAUT LAFITTE BLANC,PESSAC LEOGNAN BLANC
1466,BON PASTEUR ROUGE,POMEROL
1467,ABEILLE DE FIEUZAL BLANC,PESSAC LEOGNAN BLANC
1468,CLOS RENE ROUGE,POMEROL
1469,FRANC MAILLET ROUGE,POMEROL
147,LOCATION CRACHOIRS,
1470,TOUR LEOGNAN BLANC,PESSAC LEOGNAN BLANC
1471,LARCIS DUCASSE ROUGE,SAINT EMILION
1472,CROIX DE CARBONNIEUX BLANC,PESSAC LEOGNAN BLANC
1473,CHENES DE BOUSCAUT BLANC,PESSAC LEOGNAN BLANC
1474,FRANCE BLANC,PESSAC LEOGNAN BLANC
1475,TROTANOY ROUGE,POMEROL
1476,CLOS DU CLOCHER ROUGE,POMEROL
1477,GRAVETTE DE CERTAN ROUGE,POMEROL
1478,FUGUE DE NENIN ROUGE,POMEROL
1479,HAUT BERGEY BLANC,PESSAC LEOGNAN BLANC
148,LOCATION EUROCAVE,
1700,COMTESSE DU PARC ROUGE,HAUT MEDOC
1701,CLOS DU JAUGUEYRON HAUT MEDOC ROUGE,HAUT MEDOC
1702,FLEUR LA MOTHE ROUGE,MEDOC
1703,MAUVESIN BARTON ROUGE,MOULIS
1704,BOURGNEUF ROUGE,POMEROL
1705,CHANTALOUETTE ROUGE,POMEROL
1706,HAUT ROCHERROUGE,SAINT EMILION
1707,CADRAN FOMBRAUGE ROUGE,SAINT EMILION
1708,ANGELOTS VILLEMAURINE ROUGE,SAINT EMILION
1709,DELPHIS DE LA DAUPHINE ROUGE,FRONSAC
1710,BREHAT ROUGE,CASTILLON COTES DE BORDEAUX
1711,REAUT ROUGE,COTES DE BORDEAUX
1712,MAINES ROUGE,BORDEAUX SUPERIEUR
1713,FONCHEREAU LE GRAND ROUGE,BORDEAUX
1714,JARDIN FLEUR LA MOTHE ROUGE,BORDEAUX
1715,BRANON ROUGE,PESSAC LEOGNAN ROUGE
1716,BROWN ROUGE,PESSAC LEOGNAN ROUGE
1717,COUHINS ROUGE,PESSAC LEOGNAN ROUGE
1718,ECK ROUGE,PESSAC LEOGNAN ROUGE
1719,HAUT BACALAN ROUGE,PESSAC LEOGNAN ROUGE
1720,HAUT LAGRANGE ROUGE,PESSAC LEOGNAN ROUGE
1721,LEOGNAN ROUGE,PESSAC LEOGNAN ROUGE
1722,LUCHEY HALDE ROUGE,PESSAC LEOGNAN ROUGE
1723,ROCHE LALANDE ROUGE,PESSAC LEOGNAN ROUGE
1724,LE SARTRE ROUGE,PESSAC LEOGNAN ROUGE
1725,HALDES DE LUCHEY ROUGE,PESSAC LEOGNAN ROUGE
1726,S DU SARTRE ROUGE,PESSAC LEOGNAN ROUGE
1727,CASTRES ROUGE,GRAVES ROUGES
1728,CERONS ROUGE,GRAVES ROUGES
1729,DOMS AMELIE ROUGE,GRAVES ROUGES
1730,DOMS ROUGE,GRAVES ROUGES
1731,COUHINS BLANC,PESSAC LEOGNAN BLANC
1732,BROWN BLANC,PESSAC LEOGNAN BLANC
1733,HAUT LAGRANGE BLANC,PESSAC LEOGNAN BLANC
1734,LUCHEY HALDE BLANC,PESSAC LEOGNAN BLANC
1735,ROCHE LALANDE BLANC,PESSAC LEOGNAN BLANC
1736,LE SARTRE BLANC,PESSAC LEOGNAN BLANC
1737,HALDES DE LUCHEY BLANC,PESSAC LEOGNAN BLANC
1738,CERONS GRAVES BLANC,GRAVES BLANCS
1739,LOUDENNE BLANC,BORDEAUX BLANCS SECS
1997,LIOUNER ROUGE,LISTRAC
1998,REVERDI ROUGE,LISTRAC
1999,SARANSOT DUPRE ROUGE,LISTRAC
2,MAGNETS DE BOUTEILLES PEYRABON,
2100,POMIES AGASSAC ROUGE,HAUT MEDOC
2101,PRIEURE BEYZAC ROUGE,HAUT MEDOC
2102,HAUT GRIGNON ROUGE,MEDOC
2103,MOULIN DE L ABBAYE ROUGE,MEDOC
2104,CLOS DES LUNES SAUTERNES BLANC,SAUTERNES
